Product_name,Description,Merchant_category,ImageURL,discount,Price,Price2,Deeplink
Pack of 2 - Cotton Air Bra for Women - Black & Beige - Adjustable,Pack of 2 - Multi Color Cotton Air Bra for Women,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Bras > Bras,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fcomforts-4376-8210136-1-product.jpg,-1716%,39895.67857,12783.10714,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fpack-of-2-cotton-air-bra-for-women-black-beige-adjustable-6310128.html%2F%3Futm_content%3DLE518OT1CVPTCNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Every women wants to look slim without giving much effort.&nbsp;Hot Shaper Slimming Pants is a fitness productthat can be used for everyday wear. This shaper&nbsp;helps your body to sweat more while wearing them during dailyactivities like&nbsp;sports, walking,running or any physical activity. It helps reduce the fat from tummy, waistand thighs also it increases your core body temperature.&nbsp;So get this perfect calories burner and stay smart andin shape!",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fsports-city-7947-0404745-1-product.jpg,-1723%,40055.42857,12829.57143,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5474040.html%2F%3Futm_content%3DSP851SPENBSONAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Hot Shapers are fitness for everyday wear. Designed with Neotex smart fabrics technology that increases core temperature helping your body sweat, sweat, sweat & sweat more while wearing them during daily activities.&nbsp;",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fxenium-3600-8171165-1-product.jpg,-1730%,40215.17857,12876.03571,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5611718.html%2F%3Futm_content%3DXE400SP1CND42NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Red & Black Che Guevara Polyester Head Scarf,Red & Black Che Guevara Polyester Head Scarf,Root Category > Womens Fashion > Womens Clothing > Dupattas > Stoles & Shawls > Pakistani & Traditional Clothing,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Ftechmanistan-kids-2185-4942736-1-product.jpg,-1737%,40374.92857,12922.5,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fred-black-che-guevara-polyester-head-scarf-6372494.html%2F%3Futm_content%3DTE487SP0TFEE8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Hot Belt - Black & Yellow,Hot Shapers Hot Belt & Stay Fit!Hot Shapers Hot Belt is a fitness product that can be used for everyday wear. It is designed with neotex fabric technology that increases core temperature helping your body to sweat more while wearing them during daily activities. It helps you lose weight more faster and without any hard work. Its material dries your sweat so that dont get embarrassed publicly.Hot belt uses the same technology as that of hot shapers panties. Smart fabric that is named as Neotex is used in ...,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear > Sports & Fitness,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fhot-shapers-2709-1630046-1-product.jpg,-1744%,40534.67857,12968.96429,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-hot-belt-black-yellow-6400361.html%2F%3Futm_content%3DCO608SP09PDIKNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Slimming Pants For Women,"Sweat, Sweat and SweatAre you looking for a change in your lifestyle? The all new Hot Shaper pants provide you with fitness opportunities for everyday wear. The pants have been designed withNeotex smart fabrics technology that help in increasing your core temperature, helping yourbody sweat, sweat, sweat & sweat some more while wearing them during dailyactivities. You can buy the product online in Pakistan. only from Daraz.pk",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Flajawab-9512-4946516-1-product.jpg,-1751%,40694.42857,13015.42857,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-slimming-pants-for-women-6156494.html%2F%3Futm_content%3DLA975SP0TG7K8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Product_name,Description,Merchant_category,ImageURL,discount,Price,Price38,Deeplink
Skin Poly Cotton Silhouette Slimmer,"Slim N Lift California Beauty Bodyshaping Undergarment is a breakthrough engineering and design as Seen on TV product.Trim, Contour, Lift and Shape from below the bust line to above the knee line!Transform your figure and wear what you want!Thight Jeans! Pencil Thin Skirts! or Figure Hugging Pants!•Made of NEW free-breathing easy-to-wear micro-fiber fabric!•Cotton gusset keeps you dry and comfortable!•Feels like normal underwear!•No need to wear a panty!•Clothes fit better and look better!",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fmegamall-2330-3382355-1-product.jpg,-1759%,40854.17857,13061.89286,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fskin-poly-cotton-silhouette-slimmer-5532833.html%2F%3Futm_content%3DME573OTEOL5TNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Pack of 2 - Cotton Air Bra for Women - Black & Beige - Adjustable,Pack of 2 - Multi Color Cotton Air Bra for Women,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Bras > Bras,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fcomforts-4376-8210136-1-product.jpg,-1766%,41013.92857,13108.35714,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fpack-of-2-cotton-air-bra-for-women-black-beige-adjustable-6310128.html%2F%3Futm_content%3DLE518OT1CVPTCNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Every women wants to look slim without giving much effort.&nbsp;Hot Shaper Slimming Pants is a fitness productthat can be used for everyday wear. This shaper&nbsp;helps your body to sweat more while wearing them during dailyactivities like&nbsp;sports, walking,running or any physical activity. It helps reduce the fat from tummy, waistand thighs also it increases your core body temperature.&nbsp;So get this perfect calories burner and stay smart andin shape!",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fsports-city-7947-0404745-1-product.jpg,-1773%,41173.67857,13154.82143,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5474040.html%2F%3Futm_content%3DSP851SPENBSONAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Hot Shapers are fitness for everyday wear. Designed with Neotex smart fabrics technology that increases core temperature helping your body sweat, sweat, sweat & sweat more while wearing them during daily activities.&nbsp;",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fxenium-3600-8171165-1-product.jpg,-1780%,41333.42857,13201.28571,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5611718.html%2F%3Futm_content%3DXE400SP1CND42NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Red & Black Che Guevara Polyester Head Scarf,Red & Black Che Guevara Polyester Head Scarf,Root Category > Womens Fashion > Womens Clothing > Dupattas > Stoles & Shawls > Pakistani & Traditional Clothing,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Ftechmanistan-kids-2185-4942736-1-product.jpg,-1787%,41493.17857,13247.75,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fred-black-che-guevara-polyester-head-scarf-6372494.html%2F%3Futm_content%3DTE487SP0TFEE8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Hot Belt - Black & Yellow,Hot Shapers Hot Belt & Stay Fit!Hot Shapers Hot Belt is a fitness product that can be used for everyday wear. It is designed with neotex fabric technology that increases core temperature helping your body to sweat more while wearing them during daily activities. It helps you lose weight more faster and without any hard work. Its material dries your sweat so that dont get embarrassed publicly.Hot belt uses the same technology as that of hot shapers panties. Smart fabric that is named as Neotex is used in ...,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear > Sports & Fitness,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fhot-shapers-2709-1630046-1-product.jpg,-1795%,41652.92857,13294.21429,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-hot-belt-black-yellow-6400361.html%2F%3Futm_content%3DCO608SP09PDIKNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Slimming Pants For Women,"Sweat, Sweat and SweatAre you looking for a change in your lifestyle? The all new Hot Shaper pants provide you with fitness opportunities for everyday wear. The pants have been designed withNeotex smart fabrics technology that help in increasing your core temperature, helping yourbody sweat, sweat, sweat & sweat some more while wearing them during dailyactivities. You can buy the product online in Pakistan. only from Daraz.pk",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Flajawab-9512-4946516-1-product.jpg,-1802%,41812.67857,13340.67857,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-slimming-pants-for-women-6156494.html%2F%3Futm_content%3DLA975SP0TG7K8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Product_name,Description,Merchant_category,ImageURL,discount,Price,Price39,Deeplink
Skin Poly Cotton Silhouette Slimmer,"Slim N Lift California Beauty Bodyshaping Undergarment is a breakthrough engineering and design as Seen on TV product.Trim, Contour, Lift and Shape from below the bust line to above the knee line!Transform your figure and wear what you want!Thight Jeans! Pencil Thin Skirts! or Figure Hugging Pants!•Made of NEW free-breathing easy-to-wear micro-fiber fabric!•Cotton gusset keeps you dry and comfortable!•Feels like normal underwear!•No need to wear a panty!•Clothes fit better and look better!",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fmegamall-2330-3382355-1-product.jpg,-1809%,41972.42857,13387.14286,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fskin-poly-cotton-silhouette-slimmer-5532833.html%2F%3Futm_content%3DME573OTEOL5TNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Pack of 2 - Cotton Air Bra for Women - Black & Beige - Adjustable,Pack of 2 - Multi Color Cotton Air Bra for Women,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Bras > Bras,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fcomforts-4376-8210136-1-product.jpg,-1816%,42132.17857,13433.60714,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fpack-of-2-cotton-air-bra-for-women-black-beige-adjustable-6310128.html%2F%3Futm_content%3DLE518OT1CVPTCNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Every women wants to look slim without giving much effort.&nbsp;Hot Shaper Slimming Pants is a fitness productthat can be used for everyday wear. This shaper&nbsp;helps your body to sweat more while wearing them during dailyactivities like&nbsp;sports, walking,running or any physical activity. It helps reduce the fat from tummy, waistand thighs also it increases your core body temperature.&nbsp;So get this perfect calories burner and stay smart andin shape!",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fsports-city-7947-0404745-1-product.jpg,-1823%,42291.92857,13480.07143,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5474040.html%2F%3Futm_content%3DSP851SPENBSONAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Hot Shapers are fitness for everyday wear. Designed with Neotex smart fabrics technology that increases core temperature helping your body sweat, sweat, sweat & sweat more while wearing them during daily activities.&nbsp;",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fxenium-3600-8171165-1-product.jpg,-1830%,42451.67857,13526.53571,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5611718.html%2F%3Futm_content%3DXE400SP1CND42NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Red & Black Che Guevara Polyester Head Scarf,Red & Black Che Guevara Polyester Head Scarf,Root Category > Womens Fashion > Womens Clothing > Dupattas > Stoles & Shawls > Pakistani & Traditional Clothing,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Ftechmanistan-kids-2185-4942736-1-product.jpg,-1838%,42611.42857,13573,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fred-black-che-guevara-polyester-head-scarf-6372494.html%2F%3Futm_content%3DTE487SP0TFEE8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Hot Belt - Black & Yellow,Hot Shapers Hot Belt & Stay Fit!Hot Shapers Hot Belt is a fitness product that can be used for everyday wear. It is designed with neotex fabric technology that increases core temperature helping your body to sweat more while wearing them during daily activities. It helps you lose weight more faster and without any hard work. Its material dries your sweat so that dont get embarrassed publicly.Hot belt uses the same technology as that of hot shapers panties. Smart fabric that is named as Neotex is used in ...,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear > Sports & Fitness,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fhot-shapers-2709-1630046-1-product.jpg,-1845%,42771.17857,13619.46429,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-hot-belt-black-yellow-6400361.html%2F%3Futm_content%3DCO608SP09PDIKNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers Slimming Pants For Women,"Sweat, Sweat and SweatAre you looking for a change in your lifestyle? The all new Hot Shaper pants provide you with fitness opportunities for everyday wear. The pants have been designed withNeotex smart fabrics technology that help in increasing your core temperature, helping yourbody sweat, sweat, sweat & sweat some more while wearing them during dailyactivities. You can buy the product online in Pakistan. only from Daraz.pk",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Flajawab-9512-4946516-1-product.jpg,-1852%,42930.92857,13665.92857,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-slimming-pants-for-women-6156494.html%2F%3Futm_content%3DLA975SP0TG7K8NAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Product_name,Description,Merchant_category,ImageURL,discount,Price,Price40,Deeplink
Skin Poly Cotton Silhouette Slimmer,"Slim N Lift California Beauty Bodyshaping Undergarment is a breakthrough engineering and design as Seen on TV product.Trim, Contour, Lift and Shape from below the bust line to above the knee line!Transform your figure and wear what you want!Thight Jeans! Pencil Thin Skirts! or Figure Hugging Pants!•Made of NEW free-breathing easy-to-wear micro-fiber fabric!•Cotton gusset keeps you dry and comfortable!•Feels like normal underwear!•No need to wear a panty!•Clothes fit better and look better!",Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Shapewear,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fmegamall-2330-3382355-1-product.jpg,-1859%,43090.67857,13712.39286,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fskin-poly-cotton-silhouette-slimmer-5532833.html%2F%3Futm_content%3DME573OTEOL5TNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Pack of 2 - Cotton Air Bra for Women - Black & Beige - Adjustable,Pack of 2 - Multi Color Cotton Air Bra for Women,Root Category > Womens Fashion > Womens Clothing > Lingerie & Sleepwear > Bras > Bras,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fcomforts-4376-8210136-1-product.jpg,-1866%,43250.42857,13758.85714,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fpack-of-2-cotton-air-bra-for-women-black-beige-adjustable-6310128.html%2F%3Futm_content%3DLE518OT1CVPTCNAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
Hot Shapers - Neoprene Slimming Pants - Black,"Every women wants to look slim without giving much effort.&nbsp;Hot Shaper Slimming Pants is a fitness productthat can be used for everyday wear. This shaper&nbsp;helps your body to sweat more while wearing them during dailyactivities like&nbsp;sports, walking,running or any physical activity. It helps reduce the fat from tummy, waistand thighs also it increases your core body temperature.&nbsp;So get this perfect calories burner and stay smart andin shape!",Root Category > Womens Fashion > Womens Clothing > Sweat Pants > Western Clothing > Bottoms & Tights,http://marketing.net.daraz.pk/ts/i3801839/tsv?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fstatic.daraz.pk%2Fp%2Fsports-city-7947-0404745-1-product.jpg,-1873%,43410.17857,13805.32143,http://marketing.net.daraz.pk/ts/i3801839/tsc?tst=!!TIME_STAMP!!&amc=aff.Darazpk.50307.58698.23912&rmd=3&trg=https%3A%2F%2Fwww.daraz.pk%2Fhot-shapers-neoprene-slimming-pants-black-5474040.html%2F%3Futm_content%3DSP851SPENBSONAFAMZ%26utm_source%3Dingenious%26utm_medium%3Daffiliation%26utm_campaign%3D%23%7BPARTNER_ID%7D%26utm_term%3D%23%7BADMEDIA_ID%7D%2520-%2520%23%7BADMEDIA_NAME%7D
